,id,title,release_date,vote_average,vote_count
6775,122,The Lord of the Rings: The Return of the King,2003-12-01,8.5,21605
6776,995133,"The Boy, the Mole, the Fox and the Horse",2022-12-25,8.5,327
6777,769,GoodFellas,1990-09-12,8.5,11263
6778,372754,Dou kyu sei – Classmates,2016-02-20,8.5,306
6779,704264,Primal: Tales of Savagery,2019-11-21,8.5,264
6780,238,The Godfather,1972-03-14,8.7,17965
6781,278,The Shawshank Redemption,1994-09-23,8.7,23805
6782,240,The Godfather Part II,1974-12-20,8.6,10843
6783,772071,Cuando Sea Joven,2022-09-14,8.5,236
6784,19404,Dilwale Dulhania Le Jayenge,1995-10-19,8.6,4132
6785,424,Schindler's List,1993-12-15,8.6,14078
6786,129,Spirited Away,2001-07-20,8.5,14314
6787,389,12 Angry Men,1957-04-10,8.5,7280
6788,372058,Your Name.,2016-08-26,8.5,9854
6789,496243,Parasite,2019-05-30,8.5,15751
6790,155,The Dark Knight,2008-07-14,8.5,29734
6791,497,The Green Mile,1999-12-10,8.5,15416
6792,680,Pulp Fiction,1994-09-10,8.5,25189
6793,429,"The Good, the Bad and the Ugly",1966-12-23,8.5,7403
6794,13,Forrest Gump,1994-06-23,8.5,24678
6795,122,The Lord of the Rings: The Return of the King,2003-12-01,8.5,21605
6796,995133,"The Boy, the Mole, the Fox and the Horse",2022-12-25,8.5,327
6797,769,GoodFellas,1990-09-12,8.5,11263
6798,372754,Dou kyu sei – Classmates,2016-02-20,8.5,306
6799,704264,Primal: Tales of Savagery,2019-11-21,8.5,264
6800,238,The Godfather,1972-03-14,8.7,17965
6801,278,The Shawshank Redemption,1994-09-23,8.7,23805
6802,240,The Godfather Part II,1974-12-20,8.6,10843
6803,772071,Cuando Sea Joven,2022-09-14,8.5,236
6804,19404,Dilwale Dulhania Le Jayenge,1995-10-19,8.6,4132
6805,424,Schindler's List,1993-12-15,8.6,14078
6806,129,Spirited Away,2001-07-20,8.5,14314
6807,389,12 Angry Men,1957-04-10,8.5,7280
6808,372058,Your Name.,2016-08-26,8.5,9854
6809,496243,Parasite,2019-05-30,8.5,15751
6810,155,The Dark Knight,2008-07-14,8.5,29734
6811,497,The Green Mile,1999-12-10,8.5,15416
6812,680,Pulp Fiction,1994-09-10,8.5,25189
6813,429,"The Good, the Bad and the Ugly",1966-12-23,8.5,7403
6814,13,Forrest Gump,1994-06-23,8.5,24678
6815,122,The Lord of the Rings: The Return of the King,2003-12-01,8.5,21605
6816,995133,"The Boy, the Mole, the Fox and the Horse",2022-12-25,8.5,327
6817,769,GoodFellas,1990-09-12,8.5,11263
6818,372754,Dou kyu sei – Classmates,2016-02-20,8.5,306
6819,704264,Primal: Tales of Savagery,2019-11-21,8.5,264
6820,238,The Godfather,1972-03-14,8.7,17965
6821,278,The Shawshank Redemption,1994-09-23,8.7,23805
6822,240,The Godfather Part II,1974-12-20,8.6,10843
6823,772071,Cuando Sea Joven,2022-09-14,8.5,236
6824,19404,Dilwale Dulhania Le Jayenge,1995-10-19,8.6,4132
6825,424,Schindler's List,1993-12-15,8.6,14078
6826,129,Spirited Away,2001-07-20,8.5,14314
6827,389,12 Angry Men,1957-04-10,8.5,7280
6828,372058,Your Name.,2016-08-26,8.5,9854
6829,496243,Parasite,2019-05-30,8.5,15751
6830,155,The Dark Knight,2008-07-14,8.5,29734
6831,497,The Green Mile,1999-12-10,8.5,15416
6832,680,Pulp Fiction,1994-09-10,8.5,25189
6833,429,"The Good, the Bad and the Ugly",1966-12-23,8.5,7403
6834,13,Forrest Gump,1994-06-23,8.5,24678
6835,122,The Lord of the Rings: The Return of the King,2003-12-01,8.5,21605
6836,995133,"The Boy, the Mole, the Fox and the Horse",2022-12-25,8.5,327
6837,769,GoodFellas,1990-09-12,8.5,11263
6838,372754,Dou kyu sei – Classmates,2016-02-20,8.5,306
6839,704264,Primal: Tales of Savagery,2019-11-21,8.5,264
6840,238,The Godfather,1972-03-14,8.7,17965
6841,278,The Shawshank Redemption,1994-09-23,8.7,23805
6842,240,The Godfather Part II,1974-12-20,8.6,10843
6843,772071,Cuando Sea Joven,2022-09-14,8.5,236
6844,19404,Dilwale Dulhania Le Jayenge,1995-10-19,8.6,4132
6845,424,Schindler's List,1993-12-15,8.6,14078
6846,129,Spirited Away,2001-07-20,8.5,14314
6847,389,12 Angry Men,1957-04-10,8.5,7280
6848,372058,Your Name.,2016-08-26,8.5,9854
6849,496243,Parasite,2019-05-30,8.5,15751
6850,155,The Dark Knight,2008-07-14,8.5,29734
6851,497,The Green Mile,1999-12-10,8.5,15416
6852,680,Pulp Fiction,1994-09-10,8.5,25189
6853,429,"The Good, the Bad and the Ugly",1966-12-23,8.5,7403
